S,Qte,Code Barres,Réf Fourniss.,Désignation,Prix TTC,Px Solde,Px Promo,Taille,Couleur
X,2,01103T05,GUS,VESTE GUS,99,00,49,50,,L,NOIR
X,2,01106T01,IKAT,IKAT CAPS SNAPBACK,35,00,,,TU,NOIR
X,1,01109T01,LAWYER AZTEC,LAWYER AZTEC,39,00,,,TU,ROUGE
X,3,01110T01,LAWYER CAMO,LAWYER CAMO,39,00,,,TU,BLEU
X,4,01121T01,MURDOCK,MURDOCK,35,00,,,TU,BLEU
X,1,01129T02,NOWELL GRAY,NOWELL GRAY,35,00,,,XS,GRIS
X,2,01132T04,PALMER,VESTE PALMER,129,00,64,50,,M,BLEU
X,3,01134T01,PIN,PIN 5 PANELS,39,00,,,TU,BORDEAUX
X,2,01135T05,PORTER,VESTE PORTER,129,00,,,L,BLEU
X,1,01138T03,PRAY,TEE SHIRT PRAY,35,00,,,S,BLANC
X,1,01138T04,PRAY,TEE SHIRT PRAY,35,00,,,M,BLANC
X,1,01142T05,ROLLINS BLEU,VESTE,129,00,77,40,,L,BLEU
X,1,01149T05,SATIN BLK,VESTE SATIN BLK,129,00,64,50,,L,NOIR
X,1,01152T05,FINLEY NOIR,VESTE,179,00,89,50,,L,NOIR
X,1,01168T05,SLEAZE BLK,PULL SLEAZE BLK,69,00,,,L,NOIR
X,2,01170T03,SLEAZE BLUE,PULL SLEAZE,69,00,,,S,BLEU
X,1,01170T04,SLEAZE BLUE,PULL SLEAZE,69,00,,,M,BLEU
X,1,01178T05,TEBBY,TEBBY KH JOGGER PANT,69,00,,,L,KAKI
X,1,01178T06,TEBBY,TEBBY KH JOGGER PANT,69,00,,,XL,KAKI
X,1,01182T06,UMBRELLA,UMBRELLA,79,00,,,XL,NOIR
X,2,01186T01,WEMOTO-BILLBOARD,BILLBOARD SNAPBACK,35,00,,,TU,NOIR
X,1,01188T01,WEMOTO-SCRIPT 1,SCRIPT 1 CAPS SNAPBACK,35,00,,,TU,BLEU
X,3,01200T01,ZIMBA,BOB,39,00,,,TU,MARRON
X,17,01201T01,5 PANEL STARTER,5 PANEL STARTER,35,00,,,TU,MULTICOLORE
X,13,01203T01,BEANIES STARTER,BONNET STARTER,25,00,,,TU,MULTICOLORE
X,2,01205T01,BOB STARTER,BOB STARTER,35,00,,,TU,MULTICOLORE
X,4,01206T01,CAPS STARTER,SNAPBACK,39,00,,,TU,MULTICOLORE
X,55,01207T01,CAPS STARTER,SNAPBACK,35,00,,,TU,MULTICOLORE
X,1,01209T05,HIPPY  TANK WHT,HIPPY INFILL ICON TANK WH,35,00,,,L,BLANC
X,6,01220T01,(PACK X2) C&S PROBLE,(PACK X2) C&S PROBS,13,00,,,TU,NOIR
X,4,01221T01,(PACK X2) C&S VOLTAG,(PACK X2) C&S VOLTAGE,13,00,,,TU,NOIR
X,1,01222T01,C&S #WEEZY,C&S #WEEZY,35,00,,,TU,BLEU
X,2,01224T01,C&S BANDANA RAMA 2 T,C&S BANDANA RAMA 2 TONE,35,00,,,TU,BLANC
X,4,01225T01,C&S BIGGIE,C&S BIGGIE,13,00,,,TU,NOIR
X,1,01228T01,C&S BROOKLYN,C&S BROOKLYN LEOPARD,59,00,,,TU,NOIR
X,7,01230T01,C&S BUDZ & STRIPES,C&S BUDZ & STRIPES,39,00,,,TU,NOIR
X,1,01231T01,C&S BUDZ & STRIPES B,C&S BUDZ & STRIPES BLU,59,00,,,TU,BLEU
X,2,01232T01,C&S BUDZ & STRIPES P,C&S BUDZ & STRIPES POMPOM,29,00,,,TU,NOIR
X,1,01234T01,C&S BUDZ N STRIPES R,C&S BUDZ N STRIPES REFLECT 2-TONE,39,00,,,TU,NOIR
X,1,01235T01,C&S CAYLER,C&S CAYLER,35,00,,,TU,NOIR
X,3,01236T01,C&S CAYLER,C&S CAYLER,25,00,,,TU,NOIR
X,1,01237T01,C&S CAYLER & CO,C&S CAYLER & CO,35,00,,,TU,VERT
X,4,01238T01,C&S CAYLER FORREST,C&S CAYLER FORREST,25,00,,,TU,VERT
X,2,01239T01,C&S CHECKERS,C&S CHECKERS,39,00,,,TU,NOIR
X,10,01241T01,C&S CROOKLYN,C&S CROOKLYN,13,00,,,TU,NOIR
X,2,01244T01,C&S EZAH,C&S EZAH,39,00,,,TU,VIOLET
X,1,01246T01,C&S FASHION KILLA,C&S FASHION KILLA,59,00,,,TU,BLANC
X,4,01247T01,C&S FLAGGED,C&S FLAGGED,35,00,,,TU,BLANC
X,2,01248T01,C&S FLATBUSH,C&S FLATBUSH,45,00,,,TU,NOIR
X,3,01249T01,C&S FUCK YEAH,C&S FUCK YEAH,25,00,,,TU,NOIR
X,2,01250T01,C&S FUCK YEAH,C&S FUCK YEAH,35,00,,,TU,NOIR
X,2,01255T01,C&S HOLY BKLYN,C&S HOLY BKLYN,39,00,,,TU,NOIR
X,1,01256T01,C&S JAYS,C&S JAYS,35,00,,,TU,NOIR
X,6,01260T01,C&S MENEHUNE,C&S MENEHUNE,13,00,,,TU,VIOLET
X,3,01261T01,C&S MENEHUNE BLK,FLORAL C&S MENEHUNE,13,00,,,TU,NOIR
X,2,01263T01,C&S MILANO,C&S MILANO,55,00,,,TU,NOIR
X,1,01267T01,C&S MILANO RED 5 PAN,C&S MILANO 5 PANEL RD,39,00,,,TU,ROUGE
X,1,01281T01,C&S RICKY,C&S RICKY,35,00,,,TU,GRIS
X,1,01291T01,C&S VOLTAGE,C&S VOLTAGE,35,00,,,TU,NOIR
X,2,01292T01,C&S WEEZY,C&S WEEZY,13,00,,,TU,CAMO
X,1,01306T03,DCNC001T BLEU,K-TOGS BL,349,00,,,S,BLEU
X,2,01306T04,DCNC001T BLEU,K-TOGS BL,349,00,,,M,BLEU
X,1,01306T05,DCNC001T BLEU,K-TOGS BL,349,00,,,L,BLEU
X,2,01309T03,DCNC001T NOIR,K-TOGS BK,349,00,,,S,NOIR
X,1,01309T04,DCNC001T NOIR,K-TOGS BK,349,00,,,M,NOIR
X,2,01309T05,DCNC001T NOIR,K-TOGS BK,349,00,,,L,NOIR
X,2,01309T06,DCNC001T NOIR,K-TOGS BK,349,00,,,XL,NOIR
X,1,01313T05,DCNC001T ROUGE,K-TOGS RD,349,00,,,L,ROUGE
X,1,01315T03,DCNC001T VERT,K-TOGS GRE,349,00,,,S,VERT
